movieid,Title,Plot,Year,Genre,Runtime,Language,Director,Actors,IMDB,Pic,Youtube
tt0095327,Grave of the Fireflies,A young boy and his little sister struggle to survive in Japan during World War II.,1988,Animation | Drama | War,1h 29min,Japanese,Isao Takahata,"Tsutomu Tatsumi, Ayano Shiraishi",/title/tt0095327/,tt0095327.jpg,4vPeTSRd580
tt0034583,Casablanca,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,1942,Drama | Romance | War,1h 42min,"English, French, German, Italian",Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",/title/tt0034583/,tt0034583.jpg,BkL9l7qovsE
tt0047396,Rear Window,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,1954,Mystery | Thriller,1h 52min,English,Alfred Hitchcock,"James Stewart, Grace Kelly",/title/tt0047396/,tt0047396.jpg,m01YktiEZCw
tt0095765,Cinema Paradiso,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema''s projectionist.,1988,Drama,2h 35min,Italian,Giuseppe Tornatore,"Philippe Noiret, Enzo Cannavale",/title/tt0095765/,tt0095765.jpg,stLekU5BnbI
tt0078748,Alien,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",1979,Horror | Sci-Fi,1h 57min,English,Ridley Scott,"Sigourney Weaver, Tom Skerritt",/title/tt0078748/,tt0078748.jpg,svnAD0TApb8
tt0078788,Apocalypse Now,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,1979,Drama | Mystery | War,2h 27min,"English, French, Vietnamese",Francis Ford Coppola,"Martin Sheen, Marlon Brando",/title/tt0078788/,tt0078788.jpg,FTjG-Aux_yQ
tt0082971,Raiders of the Lost Ark,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler''s Nazis can obtain its awesome powers.",1981,Action | Adventure,1h 55min,"English, German, Hebrew, Spanish, Arabic, Nepali",Steven Spielberg,"Harrison Ford, Karen Allen",/title/tt0082971/,tt0082971.jpg,XkkzKHCx154
tt0032553,The Great Dictator,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel''s regime.,1940,Comedy | Drama | War,2h 5min,"English, Esperanto",Charles Chaplin,"Charles Chaplin, Paulette Goddard",/title/tt0032553/,tt0032553.jpg,4sfJxdytYn4
tt0405094,The Lives of Others,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",2006,Drama | Mystery | Thriller,2h 17min,German,Florian Henckel von Donnersmarck,"Ulrich Mühe, Martina Gedeck",/title/tt0405094/,tt0405094.jpg,n3_iLOp6IhM
tt1853728,Django Unchained,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",2012,Drama | Western,2h 45min,"English, German, French, Italian",Quentin Tarantino,"Jamie Foxx, Christoph Waltz",/title/tt1853728/,tt1853728.jpg,_iH0UBYDI4g
tt0050825,Paths of Glory,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",1957,Drama | War,1h 28min,"English, German, Latin",Stanley Kubrick,"Kirk Douglas, Ralph Meeker",/title/tt0050825/,tt0050825.jpg,nmDA60X-f_A
tt4154756,Avengers: Infinity War,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,2018,Action | Adventure | Sci-Fi,2h 29min,English,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",/title/tt4154756/,tt4154756.jpg,6ZfuNTqbHE8
tt0081505,The Shining,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",1980,Drama | Horror,2h 26min,English,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",/title/tt0081505/,tt0081505.jpg,S014oGZiSdI
tt0910970,WALL-E,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",2008,Animation | Adventure | Family,1h 38min,English,Andrew Stanton,"Ben Burtt, Elissa Knight",/title/tt0910970/,tt0910970.jpg,9pyBKj5-jVk
tt4633694,Spider-Man: Into the Spider-Verse,"Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.",2018,Animation | Action | Adventure,1h 57min,"English, Spanish",Bob Persichetti,"Shameik Moore, Jake Johnson",/title/tt4633694/,tt4633694.jpg,g4Hbz2jLxvQ
tt0043014,Sunset Blvd,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,1950,Drama | Film-Noir,1h 50min,English,Billy Wilder,"William Holden, Gloria Swanson",/title/tt0043014/,tt0043014.jpg,USv1hJTlbhg
tt0119698,Princess Mononoke,"On a journey to find the cure for a Tatarigami''s curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",1997,Animation | Adventure | Fantasy,2h 14min,Japanese,Hayao Miyazaki,"Yôji Matsuda, Yuriko Ishida",/title/tt0119698/,tt0119698.jpg,4OiMOHRDs14
tt0057012,Dr Strangelove or: How I Learned to Stop Worrying and Love the Bomb,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,1964,Comedy,1h 35min,"English, Russian",Stanley Kubrick,"Peter Sellers, George C. Scott",/title/tt0057012/,tt0057012.jpg,98NaJ8ss4sY
tt4154796,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos'' actions and restore balance to the universe.",2019,Action | Adventure | Drama,3h 1min,"English, Japanese, Xhosa, German",Anthony Russo,"Robert Downey Jr., Chris Evans",/title/tt4154796/,tt4154796.jpg,TcMBFSGVi1c
tt0364569,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.",2003,Action | Drama | Mystery,1h 41min,Korean,Chan-wook Park,"Min-sik Choi, Ji-Tae Yoo",/title/tt0364569/,tt0364569.jpg,2HkjrJ6IK5E
tt0051201,Witness for the Prosecution,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,1957,Crime | Drama | Film-Noir,1h 56min,"English, German",Billy Wilder,"Tyrone Power, Marlene Dietrich",/title/tt0051201/,tt0051201.jpg,GMlJfiA2u7Y
tt8579674,1917,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",2019,Drama | War,1h 59min,"English, French, German",Sam Mendes,"Dean-Charles Chapman, George MacKay",/title/tt8579674/,tt8579674.jpg,YqNYrYUiMfg
tt1345836,The Dark Knight Rises,"Eight years after the Joker''s reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.",2012,Action | Adventure,2h 44min,"English, Arabic",Christopher Nolan,"Christian Bale, Tom Hardy",/title/tt1345836/,tt1345836.jpg,GokKUqLcvD8
tt0087843,Once Upon a Time in America,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",1984,Crime | Drama,3h 49min,"English, Italian, French",Sergio Leone,"Robert De Niro, James Woods",/title/tt0087843/,tt0087843.jpg,LcpCRyNo8T8
tt5311514,Your Name,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",2016,Animation | Drama | Fantasy,1h 46min,Japanese,Makoto Shinkai,"Ryûnosuke Kamiki, Mone Kamishiraishi",/title/tt5311514/,tt5311514.jpg,xU47nhruN-Q
tt0169547,American Beauty,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter''s best friend.,1999,Drama,2h 2min,English,Sam Mendes,"Kevin Spacey, Annette Bening",/title/tt0169547/,tt0169547.jpg,Ly7rq5EsTC8
